Num_Acc,senc,catv,occutc,obs,obsm,choc,manv,num_veh
202100000220,1,10,,0,0,2,1,A01
202100000221,1,10,,0,2,8,22,B01
202100000221,1,80,,1,0,7,26,A01
202100000222,1,7,,6,0,3,1,A01
202100000223,1,7,,0,2,1,21,A01
202100000223,1,7,,0,2,6,23,B01
202100000223,1,7,,0,0,4,23,C01
202100000224,1,7,,0,1,1,9,A01
202100000225,1,7,,0,2,3,13,A01
202100000225,2,7,,0,2,3,1,B01
202100000226,1,7,,0,2,7,16,A01
202100000226,1,1,,0,2,1,1,B01
202100000227,1,7,,0,2,4,2,A01
202100000227,1,7,,0,2,1,2,B01
202100000227,1,7,,5,2,8,2,C01
202100000227,1,7,,0,2,4,2,D01
202100000227,1,7,,0,2,1,2,E01
202100000228,2,7,,0,2,2,1,C01
202100000228,1,1,,0,2,1,19,A01
202100000228,1,1,,0,2,1,19,B01
202100000229,1,7,,1,0,1,1,A01
202100000229,1,7,,0,2,4,0,C01
202100000230,2,7,,0,1,1,1,A01
202100000231,1,7,,0,2,1,2,A01
202100000231,1,10,,0,2,4,2,B01
202100000232,2,32,,0,2,1,8,A01
202100000232,1,7,,0,2,2,15,B01
202100000233,3,7,,0,2,5,1,B01
202100000233,3,2,,0,2,3,0,A01
202100000234,2,7,,6,0,1,1,A01
202100000235,3,2,,0,0,2,1,B01
202100000235,3,7,,0,2,3,9,A01
202100000236,1,31,,1,2,2,17,B01
202100000236,1,7,,0,2,3,15,A01
202100000237,1,2,,0,2,1,13,B01
202100000237,1,7,,0,2,8,13,A01
202100000238,1,10,,3,0,3,26,A01
202100000239,2,30,,0,2,1,1,A01
202100000239,2,7,,0,2,4,1,B01
202100000240,1,7,,0,2,2,12,A01
202100000240,1,43,,0,2,3,7,B01
202100000241,1,33,,0,6,1,1,A01
202100000242,1,7,,0,2,3,15,B01
202100000242,1,34,,0,2,1,17,A01
202100000243,2,60,,0,2,1,1,B01
202100000243,1,10,,0,2,2,15,A01
202100000244,3,7,,0,1,1,15,A01
202100000245,3,7,,7,2,1,1,A01
202100000245,3,7,,0,2,3,15,B01
202100000246,0,7,,0,2,1,1,B01
202100000247,2,7,,0,1,1,14,A01
202100000248,2,30,,0,2,2,15,A01
202100000248,1,7,,0,2,1,1,B01
202100000249,1,1,,0,2,4,11,A01
202100000249,1,7,,0,2,2,1,B01
202100000250,2,7,,0,2,2,14,A01
202100000250,2,1,,0,2,4,26,B01
202100000251,3,1,,0,1,0,2,A01
202100000252,3,38,1.0,0,1,8,16,A01
202100000253,2,31,,0,2,0,0,B01
202100000253,3,10,,0,2,7,19,A01
202100000254,0,30,,0,1,4,21,A01
202100000255,1,7,,0,0,1,1,A01
202100000256,3,7,,13,0,0,15,A01
202100000257,2,7,,6,0,1,13,A01
202100000258,1,7,,1,0,2,21,A01
202100000259,1,7,,4,0,1,1,A01
202100000260,1,7,,0,2,-1,17,B01
202100000260,1,7,,0,0,0,1,A01
202100000261,3,7,,0,2,3,10,A01
202100000261,3,2,,0,2,1,17,B01
202100000262,-1,30,,-1,-1,-1,-1,B01
202100000262,-1,20,,-1,-1,-1,-1,A01
202100000263,1,32,,0,2,1,1,A01
202100000263,2,7,,0,2,3,15,B01
202100000264,1,7,,0,2,2,15,A01
202100000264,1,3,,0,2,1,1,B01
202100000265,3,33,,0,2,2,17,B01
202100000265,3,7,,0,2,8,19,A01
202100000266,1,10,,0,2,3,16,A01
202100000266,1,34,,0,2,1,1,B01
202100000267,1,7,,0,2,4,1,B01
202100000267,1,30,,0,2,1,26,A01
202100000268,1,10,,6,0,1,1,A01
202100000269,1,7,,0,2,9,13,A01
202100000269,3,7,,0,0,1,1,C01
202100000269,3,7,,0,2,1,1,B01
202100000270,2,7,,0,2,3,20,B01
202100000270,2,2,,0,2,2,1,A01
202100000271,2,39,,0,1,6,1,E01
202100000272,1,7,,0,2,6,1,B01
202100000272,2,7,,1,2,1,13,A01
202100000273,0,50,,0,2,8,19,B01
202100000273,1,7,,0,2,1,1,A01
202100000274,1,1,,0,2,1,2,B01
202100000274,1,7,,0,2,2,2,A01
202100000275,3,33,,0,2,1,1,B01
202100000275,3,10,,0,2,2,15,A01
202100000276,1,7,,0,2,7,1,B01
202100000276,3,7,,0,2,1,1,A01
202100000277,2,7,,2,0,0,13,A01
202100000278,2,7,,4,0,0,21,A01
202100000279,1,10,,0,1,1,1,A01
202100000280,2,2,,0,1,1,26,A01
202100000281,3,7,,0,2,1,1,B01
202100000281,3,7,,0,2,8,15,A01
202100000282,0,7,,0,1,2,1,A01
202100000283,0,13,,0,2,0,0,A01
202100000283,3,31,,0,2,0,0,B01
202100000284,1,33,,0,1,7,1,A01
202100000285,2,43,,0,2,1,0,B01
202100000285,1,1,,0,2,7,19,A01
202100000286,1,7,,0,2,8,1,C01
202100000286,1,7,,0,2,4,1,B01
202100000286,1,7,,0,2,1,1,A01
202100000287,1,30,,0,2,0,1,A01
202100000287,2,7,,0,2,0,15,B01
202100000288,1,7,,8,0,7,1,A01
202100000289,1,7,,0,2,1,1,A01
202100000289,1,7,,0,2,3,1,B01
202100000290,3,7,,0,2,1,1,A01
202100000290,3,7,,0,2,4,1,B01
202100000291,0,7,,0,2,4,0,B01
202100000291,0,7,,0,2,1,0,A01
202100000292,1,33,,0,2,1,26,A01
202100000292,1,7,,0,2,6,1,B01
202100000293,2,1,,0,2,8,15,B01
202100000293,2,7,,0,2,2,1,A01
202100000294,3,1,,0,2,7,19,A01
202100000294,2,31,,0,2,1,1,B01
202100000295,2,7,,0,2,1,21,A01
202100000295,2,7,,0,2,4,20,B01
202100000296,1,2,,0,2,7,1,A01
202100000296,1,7,,0,2,1,1,B01
202100000297,1,31,,0,2,0,1,A01
202100000297,1,7,,0,0,0,0,B01
202100000298,2,7,,0,2,8,1,A01
202100000298,2,10,,0,2,1,1,B01
202100000299,2,7,,0,2,3,9,A01
202100000299,1,33,,0,2,1,1,B01
202100000300,1,7,,0,2,3,0,A01
202100000300,2,33,,0,2,5,0,B01
202100000301,1,7,,0,1,7,0,A01
202100000302,3,50,,0,1,4,1,A01
202100000303,1,7,,0,2,4,23,B01
202100000303,1,7,,0,2,1,0,A01
202100000304,1,7,,0,1,1,1,A01
202100000305,0,7,,0,1,1,1,A01
202100000306,1,7,,0,1,1,1,A01
202100000307,1,7,,0,2,2,17,A01
202100000307,1,80,,0,2,1,0,B01
202100000308,3,1,,0,2,4,6,B01
202100000308,2,7,,0,2,3,21,A01
202100000309,3,7,,0,2,1,1,B01
202100000309,3,7,,0,2,2,5,A01
202100000310,1,7,,14,0,1,26,A01
202100000311,0,33,,0,2,3,9,A01
202100000311,3,1,,0,2,0,0,B01
202100000312,3,7,,0,2,8,11,A01
202100000312,3,32,,0,2,1,1,B01
202100000313,0,7,,0,2,6,15,B01
202100000313,3,33,,0,2,2,17,A01
202100000314,3,30,,7,2,0,1,A01
202100000314,3,7,,0,2,3,19,B01
202100000315,3,7,,15,2,3,19,A01
202100000315,3,7,,15,2,2,1,B01
202100000316,3,31,,2,0,8,1,A01
202100000317,3,7,,0,2,1,16,A01
202100000317,3,7,,0,1,4,16,B01
202100000318,0,7,,13,0,8,9,A01
202100000319,3,7,,0,2,6,2,B01
202100000319,3,7,,0,2,2,1,A01
202100000320,1,7,,0,2,5,1,A01
202100000320,1,7,,0,2,1,1,Z01
202100000321,3,7,,0,1,1,1,A01
202100000322,2,1,,0,2,7,1,A01
202100000322,1,7,,0,2,1,1,B01
202100000323,1,10,,0,2,3,15,A01
202100000323,2,31,,0,2,8,1,B01
202100000324,2,7,,0,2,1,1,B01
202100000324,2,7,,15,2,7,1,A01
202100000325,1,7,,0,1,0,15,A01
202100000326,0,39,,0,1,1,1,A01
202100000327,-1,7,,0,-1,-1,4,A01
202100000328,2,7,,0,0,0,15,A01
202100000328,1,31,,0,0,9,1,B01
202100000329,1,7,,0,2,3,1,C01
202100000329,1,7,,0,2,3,1,B01
202100000329,2,7,,0,2,3,13,A01
202100000330,3,7,,2,0,0,14,A01
202100000331,2,10,,0,1,3,1,A01
202100000332,2,7,,13,0,1,17,A01
202100000333,2,7,,1,0,1,2,B01
202100000333,2,7,,0,2,4,23,A01
202100000334,3,39,,0,2,2,1,A01
202100000334,1,1,,0,4,7,23,B01
202100000335,3,34,,0,1,1,1,A01
202100000336,2,7,,0,2,3,13,B01
202100000336,1,10,,0,2,3,1,A01
202100000337,1,30,,0,2,1,1,B01
202100000337,2,33,,0,2,1,17,A01
